City,State,Sale Amount,Sale Date
Martinezfort,New Mexico,3305.31,2024-05-24
New Rhonda,Washington,417.55,2024-02-09
Sanchezland,Idaho,1592.64,2023-12-10
Welchside,Wyoming,1349.09,2023-12-06
West Shannonborough,Missouri,3761.41,2024-03-11
North Staceymouth,Pennsylvania,3480.49,2024-02-13
New Josephtown,Texas,4493.24,2024-05-20
New Allen,Connecticut,708.61,2024-04-25
Charlesfort,Arkansas,2283.03,2024-05-15
Joneschester,Oregon,440.05,2024-11-18
Melanieside,Virginia,1327.6,2024-04-23
West Natalieburgh,Rhode Island,2675.17,2024-10-21
South Jimborough,Texas,424.72,2024-11-15
Ryanbury,Wyoming,1234.54,2024-10-20
Antonioton,Oklahoma,3354.46,2024-09-03
Kyleland,Idaho,2861.22,2024-03-31
Alexanderchester,Arizona,1336.07,2024-09-22
South Ryan,Utah,3069.55,2024-05-18
Smithfurt,Idaho,4104.32,2024-05-31
West Sarahmouth,Florida,330.54,2024-04-29
Hughesville,Arizona,4087.35,2024-07-15
Veronicabury,Arizona,3581.26,2024-02-08
Lake Samuel,Alaska,1899.18,2024-01-09
Port Margaret,California,1030.75,2024-01-17
Port Robin,Nevada,4798.9,2023-11-25
South Maryton,New Mexico,1881.99,2023-12-15
South Gavin,Oregon,735.91,2024-01-01
Pollardview,Utah,754.57,2024-03-29
East Amandaport,Kentucky,4283.22,2024-08-24
South Megan,Louisiana,3137.51,2024-02-26
South Tammy,New York,4093.5,2024-06-23
Zacharyborough,Nebraska,3729.74,2024-02-20
Port Evan,Maryland,2820.27,2024-05-14
Jonesbury,Kentucky,4873.64,2024-10-30
South Kathleenmouth,Alaska,2079.11,2024-07-23
West Timothy,North Dakota,2894.59,2024-04-28
Perezview,South Dakota,4198.2,2024-01-28
Clarkside,Montana,3207.04,2024-06-09
New Meagan,Minnesota,4350.02,2023-12-20
Jacquelineport,Arizona,3013.56,2024-08-19
Lake Kyle,Maine,3611.49,2024-11-03
Port Kellyton,Arkansas,515.37,2024-04-01
North Jennifer,Iowa,1371.12,2024-07-23
Briantown,Pennsylvania,1660.12,2024-04-18
Nicolebury,South Carolina,675.02,2023-12-21
West Lisaburgh,West Virginia,1394.12,2024-05-15
Juliaville,Alaska,774.71,2024-07-26
Port Ashleyside,Kentucky,1606.48,2024-08-13
Nicoleburgh,Florida,3287.72,2024-07-16
Lake Cassandraside,Maine,2014.71,2024-06-22
Watsonton,Pennsylvania,2039.85,2023-12-09
South Kennethmouth,New Hampshire,1284.68,2024-05-15
West Timburgh,Oklahoma,1554.8,2024-02-17
Lowestad,Hawaii,4702.28,2024-07-28
Lake Christina,Vermont,3345.77,2024-05-19
Osbornetown,New York,3162.92,2024-06-18
North Richardburgh,Florida,1104.35,2024-03-02
Jameschester,Arizona,3726.9,2023-12-16
Avilahaven,New York,1067.99,2023-12-05
South Christine,Alaska,2083.44,2024-01-26
East April,Kentucky,4950.76,2024-09-20
North Holly,Wisconsin,3308.0,2024-04-16
Williamston,South Dakota,2917.66,2024-09-11
Lake Ericshire,South Dakota,3517.69,2024-10-24
Garciaberg,North Dakota,4261.4,2024-07-26
Camachobury,New Mexico,3947.2,2024-02-14
Port Justinside,Michigan,1376.53,2023-12-06
Brownmouth,Texas,450.87,2024-07-17
West Tanyastad,New York,1782.63,2024-05-19
East Angelaton,New Hampshire,1558.38,2024-11-01
Ethanview,Ohio,1291.62,2024-05-05
Curtisview,Vermont,4731.68,2024-05-27
Dillonton,Maine,4418.93,2024-06-26
New Nathanside,Michigan,1778.99,2024-10-28
New Charlene,New Jersey,3380.56,2024-03-25
Michelestad,Ohio,2159.47,2024-05-28
Lake Victoriastad,Virginia,4598.37,2024-09-26
Charlesview,Minnesota,2456.6,2024-09-19
South Shannonfurt,Georgia,1544.94,2024-06-26
Thomasside,West Virginia,1459.15,2024-11-22
North Emily,Hawaii,2938.43,2024-05-17
Spencerview,Alaska,1534.89,2024-08-06
Mcgeebury,New Mexico,3047.55,2024-06-05
Port Jaredshire,Arizona,4519.77,2024-06-06
Mcdonaldville,Maryland,2177.18,2024-02-28
Port Sheila,Florida,1330.81,2024-01-08
Thomasstad,Oklahoma,4988.43,2024-10-15
Frankborough,New Hampshire,2694.77,2024-06-08
Port Reneechester,Oregon,727.27,2023-12-04
South Bruce,Alabama,521.45,2024-05-01
South Joseph,West Virginia,815.35,2024-03-20
South Cindyfurt,New Jersey,3249.0,2024-08-01
New Heatherborough,Wyoming,4022.77,2024-11-14
Kempfurt,Nevada,2284.15,2024-05-02
Tonimouth,Oklahoma,598.58,2024-06-19
New Valerie,Minnesota,2093.61,2024-07-19
Wilsonfurt,Maryland,4981.77,2024-06-07
Esparzaberg,Virginia,2786.84,2024-02-20
Lake Gailburgh,South Dakota,4864.07,2023-12-18
North Sandra,South Carolina,4345.66,2024-04-25
West Robertborough,Montana,353.96,2024-04-11
Evansstad,Arizona,3687.39,2023-12-13
Marybury,Wyoming,3504.04,2024-10-09
Kimberlyton,Colorado,2823.76,2023-12-10
Marcusberg,Mississippi,1554.08,2024-02-01
Adrianbury,Colorado,3312.52,2024-04-19
Dixonport,Missouri,824.3,2024-10-29
Port Robert,New Jersey,2343.4,2024-06-30
South Justinmouth,West Virginia,2432.5,2024-02-20
Lake Christopherberg,Kentucky,4782.93,2024-07-14
Jonesview,Arizona,4416.51,2024-04-27
Davisland,Virginia,1537.93,2024-02-18
New Michaelton,Wyoming,2652.75,2023-12-16
Lake Matthewchester,Ohio,1139.66,2023-12-30
